,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,Creditability_predicted
0,0,2,4,0,2,0,4,0,1,0,3,0,3,0,0,2,2,0,1,0,0,0
1,0,1,2,3,0,1,1,3,0,0,2,3,3,2,1,0,1,0,1,0,0,0
2,1,1,2,2,0,3,1,0,1,0,3,0,0,2,0,0,1,0,0,0,1,1
3,3,1,2,7,0,4,3,3,1,0,2,1,4,2,1,0,2,0,1,0,1,1
4,1,2,2,3,0,0,2,3,1,2,3,0,2,2,1,0,1,1,0,0,1,0
5,1,3,0,8,3,0,4,1,1,0,3,3,4,1,2,1,3,0,1,0,0,0
6,1,1,4,3,0,0,4,1,0,0,3,0,3,2,1,2,1,0,0,0,1,1
7,3,0,0,3,0,0,4,3,0,0,3,2,3,2,1,0,1,0,0,0,1,1
8,0,0,2,2,1,0,2,0,0,0,1,0,3,0,1,0,1,0,1,0,1,1
9,2,2,4,2,2,4,4,3,0,1,3,3,0,2,0,1,2,0,0,0,1,1
10,3,0,2,3,1,0,3,1,0,0,1,0,2,2,0,0,2,0,0,0,1,1
11,3,2,2,1,3,4,0,1,1,0,3,1,2,2,0,0,3,0,1,0,1,1
12,0,1,1,3,1,0,2,3,0,0,0,3,2,2,2,0,2,0,0,0,0,1
13,3,3,2,1,2,2,2,3,0,0,3,2,1,2,1,0,2,0,0,0,1,1
14,0,3,4,2,3,2,2,0,1,0,3,2,1,2,1,1,2,0,0,0,0,1
15,0,1,4,3,0,0,3,3,1,0,2,0,5,2,1,3,1,0,1,0,1,1
16,0,2,1,2,1,0,2,3,0,0,2,2,4,0,1,0,2,0,0,0,0,0
17,3,2,2,3,2,2,4,2,0,0,1,2,3,2,1,0,3,0,1,0,1,1
18,0,2,2,3,1,4,3,1,0,0,3,2,1,2,0,1,1,0,0,0,1,1
19,3,2,4,0,1,3,4,3,0,0,3,0,6,2,1,0,2,0,1,0,1,1
20,3,3,4,0,2,0,3,3,0,0,3,2,3,2,1,1,2,0,1,0,1,1
21,1,2,2,2,2,0,3,1,1,0,3,0,4,2,0,0,2,0,0,0,1,1
22,3,1,4,3,0,4,4,3,0,0,3,0,6,2,1,3,2,0,0,0,1,1
23,3,3,4,1,2,4,4,3,0,0,2,2,3,2,1,1,2,1,1,0,1,1
24,1,2,1,0,0,1,2,1,0,0,1,1,1,2,0,0,2,0,0,0,0,0
25,1,2,0,8,3,0,2,0,0,0,3,0,3,2,1,2,1,0,1,0,0,1
26,0,2,2,0,0,0,1,3,1,0,2,2,1,2,0,0,2,0,1,0,0,0
27,1,3,3,0,3,0,2,1,1,0,1,1,5,2,0,0,2,0,0,0,1,1
28,1,3,2,3,2,0,3,3,0,0,3,0,2,2,1,1,2,0,0,0,0,1
29,0,1,4,0,2,0,2,1,0,0,1,0,3,2,0,1,2,1,0,0,1,1
30,0,2,2,3,1,0,2,2,1,0,1,0,1,2,1,1,2,0,1,0,0,0
31,3,2,2,0,2,0,4,3,1,1,3,3,6,2,2,0,2,0,1,0,1,1
32,0,2,2,1,3,0,0,3,0,0,1,3,2,2,2,0,3,0,1,0,1,0
33,1,2,0,0,1,0,1,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0
34,1,2,2,8,1,3,1,2,0,0,2,0,3,0,1,0,2,0,1,0,1,1
35,1,1,2,3,0,0,4,3,0,0,3,2,3,2,1,1,1,0,0,0,1,0
36,1,3,2,2,2,1,2,1,1,1,3,2,1,0,0,0,2,0,0,0,0,0
37,2,2,2,3,0,2,2,2,1,0,2,2,5,2,1,0,1,0,0,0,1,1
38,0,3,0,1,3,0,4,2,0,0,3,3,1,2,2,1,2,1,0,0,0,0
39,3,3,2,0,0,2,4,3,0,0,3,1,3,2,1,0,2,0,0,0,1,1
40,3,2,2,3,0,0,4,3,0,0,0,0,3,2,1,0,3,0,1,0,1,1
41,0,2,2,0,1,0,4,3,0,1,0,0,4,2,1,0,2,0,0,0,0,0
42,0,2,2,2,2,0,1,3,0,0,0,3,1,0,2,0,2,0,0,0,1,1
43,1,3,4,1,3,1,0,2,0,0,3,2,2,2,1,0,2,0,0,0,1,1
44,1,2,3,5,3,0,2,1,0,0,3,0,4,2,1,0,1,1,1,0,1,1
45,1,0,1,6,0,3,1,3,1,0,1,1,1,0,0,0,2,1,0,0,0,1
46,3,1,2,2,1,0,1,1,1,1,1,2,0,2,0,1,2,0,0,0,0,1
47,3,1,2,6,2,4,4,0,0,0,3,0,6,2,1,0,1,0,0,0,1,1
48,3,2,1,8,1,0,3,3,0,0,3,2,4,0,1,0,2,0,1,0,1,1
49,0,3,2,2,2,0,2,0,0,2,1,1,3,2,1,0,2,1,0,0,1,1
50,3,2,4,3,2,0,2,1,1,0,1,2,2,2,1,1,2,0,0,0,1,1
51,3,3,2,1,3,0,2,0,1,0,1,1,3,0,1,0,2,0,0,0,1,1
52,2,1,2,2,0,0,1,3,1,0,1,1,1,2,1,0,2,0,0,0,1,0
53,1,2,4,8,2,2,2,1,0,0,3,2,2,0,1,0,2,0,0,0,1,1
54,1,1,2,3,1,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1
55,3,2,2,3,2,1,4,1,0,0,3,2,3,2,1,1,2,0,0,0,0,1
56,3,0,2,5,0,2,3,1,0,0,3,0,1,2,0,0,1,0,0,0,1,1
57,3,0,2,1,0,2,2,1,0,0,3,1,5,2,0,0,2,0,0,0,1,1
58,0,1,2,3,0,1,3,3,0,0,0,1,0,2,1,0,2,0,0,0,0,1
59,3,0,0,0,0,1,2,3,0,0,0,3,3,0,0,0,2,0,0,1,1,1
60,3,3,2,3,3,4,3,3,0,0,2,2,3,1,1,0,2,0,1,0,1,1
61,0,3,4,1,3,0,4,3,1,0,3,3,5,1,2,1,1,0,0,0,0,1
62,1,2,2,3,3,4,4,1,1,0,3,2,4,2,1,0,2,0,1,0,1,1
63,2,2,1,3,1,4,3,3,0,0,3,2,4,0,1,0,1,0,0,0,1,1
64,3,2,3,8,2,2,2,3,0,0,1,2,4,2,1,1,2,1,1,0,1,0
65,3,0,4,0,3,0,3,0,0,0,2,3,4,2,1,1,3,1,1,0,1,1
66,3,1,2,3,1,0,1,3,1,0,2,2,3,2,1,0,2,1,0,0,1,1
67,3,2,4,1,1,4,3,3,0,0,3,2,4,2,1,1,2,1,1,0,1,1
68,3,1,2,3,0,0,4,3,0,0,3,2,3,2,1,0,2,0,0,0,1,1
69,0,3,2,2,2,0,4,3,0,0,1,2,4,2,1,0,2,1,0,0,0,0
70,1,2,2,5,0,0,4,3,0,0,3,2,3,2,1,1,1,0,0,0,1,0
71,3,2,3,3,2,0,0,1,0,0,2,0,3,2,1,1,2,0,0,0,1,1
72,3,1,2,2,1,0,3,2,1,0,3,0,3,2,1,0,1,0,0,0,1,1
73,3,2,3,2,3,1,2,1,0,0,2,1,3,2,1,1,2,0,0,0,1,1
74,0,2,1,8,2,0,2,3,0,0,1,1,3,0,0,0,2,0,1,0,0,0
75,3,1,4,3,0,4,4,3,0,0,3,2,3,2,1,1,2,0,0,0,1,1
76,0,2,2,1,2,4,4,1,1,0,3,0,2,2,0,0,2,0,0,0,1,1
77,2,2,2,2,2,0,2,1,0,0,0,0,3,2,1,0,1,1,0,0,0,1
78,3,2,4,2,1,0,3,1,0,0,1,1,3,2,1,1,1,0,0,0,1,1
79,1,3,3,8,3,4,2,3,0,0,3,3,3,2,2,0,2,1,1,0,1,1
80,3,1,4,0,1,0,1,3,1,0,3,2,3,2,1,1,3,0,0,0,1,1
81,1,2,3,9,2,0,2,1,0,0,2,2,2,0,1,1,2,0,1,0,1,0
82,1,1,2,2,0,0,2,3,1,0,0,1,3,2,1,0,2,0,0,0,0,1
83,1,3,4,2,3,0,2,1,1,0,2,2,3,2,1,0,3,0,1,0,0,1
84,0,3,0,2,3,0,2,2,0,0,3,3,5,2,2,1,2,1,0,0,0,0
85,3,2,3,1,2,0,1,0,1,0,1,1,4,2,1,1,1,0,0,0,1,1
86,3,2,2,2,1,0,4,3,0,0,1,0,5,2,1,1,2,0,0,0,1,1
87,3,2,4,0,2,1,3,3,0,0,2,1,2,2,1,1,2,0,1,0,1,1
88,3,2,4,1,3,4,3,2,0,0,3,1,4,2,1,1,2,0,1,0,1,1
89,1,2,1,6,1,0,3,3,1,0,3,3,3,0,2,0,1,0,0,0,0,0
90,1,1,2,0,3,0,0,1,0,0,3,3,7,0,2,0,3,0,1,0,1,1
91,0,1,4,1,1,0,4,3,0,0,2,0,5,2,1,0,2,0,0,0,1,1
92,0,3,0,8,3,0,0,1,0,0,3,1,5,2,1,1,2,0,1,0,0,0
93,2,1,2,3,0,1,4,1,0,0,3,0,4,2,1,0,2,0,0,0,1,1
94,0,2,4,2,3,0,4,0,1,0,3,1,1,2,1,1,2,0,0,0,1,1
95,3,1,4,8,0,0,2,2,1,0,1,0,2,2,1,1,2,0,0,0,1,1
96,3,1,4,2,1,0,4,3,0,0,3,0,4,2,1,2,2,0,1,0,1,1
97,3,2,2,3,1,0,1,3,1,0,2,2,3,1,1,0,2,0,1,0,1,1
98,1,1,0,7,1,0,2,1,0,0,1,0,3,2,1,0,1,0,1,0,1,1
99,3,2,4,6,1,0,4,3,0,0,3,3,5,2,2,1,2,1,0,0,1,1
100,3,2,2,3,2,2,4,2,0,0,1,2,3,0,1,1,2,0,1,0,0,1
101,3,3,3,8,3,0,1,0,0,0,0,2,2,2,1,1,2,0,0,0,0,1
102,3,0,4,3,0,1,2,0,1,0,0,1,2,2,1,1,2,0,0,0,1,1
103,1,3,3,0,1,0,4,3,0,0,3,3,5,0,2,1,2,0,1,0,0,0
104,2,1,2,3,2,0,2,2,0,0,0,2,1,2,1,0,2,0,0,0,1,1
105,0,1,4,2,1,0,4,2,0,0,2,1,6,2,1,1,2,0,0,0,0,1
106,1,1,2,3,2,0,1,0,1,2,0,0,4,2,1,0,2,0,0,0,1,1
107,1,2,4,2,3,0,1,1,1,0,3,2,1,0,1,0,1,0,0,0,0,1
108,1,3,0,8,3,1,2,3,1,0,3,2,2,2,0,1,1,0,0,0,0,0
109,1,1,2,0,1,4,1,3,0,0,1,0,3,2,1,0,0,0,0,0,1,1
110,1,3,3,8,3,0,2,1,0,0,1,0,3,1,1,1,3,0,1,0,0,1
111,0,1,2,4,0,1,0,3,1,0,2,1,1,2,1,0,2,0,0,0,0,1
112,1,1,2,1,1,4,2,3,0,0,1,2,3,2,1,0,2,0,0,0,1,1
113,3,2,2,3,0,4,1,3,1,0,1,0,1,2,0,0,2,0,1,0,1,1
114,2,2,2,8,2,0,3,1,0,0,3,1,2,2,0,0,2,0,1,0,1,1
115,1,1,2,3,0,0,2,3,0,0,2,0,1,2,1,0,2,0,0,0,1,1
116,1,1,2,8,0,0,1,2,0,0,1,0,2,2,1,0,2,0,1,0,1,1
117,3,3,4,0,3,4,4,1,0,0,3,3,6,0,2,0,3,0,1,0,1,0
118,3,1,2,0,2,4,1,1,0,0,2,1,4,2,1,0,3,1,1,0,1,1
119,1,3,2,2,2,0,1,1,0,0,0,1,1,2,1,0,2,0,0,0,1,0
120,1,3,4,2,3,0,3,1,0,0,1,1,4,2,1,0,2,0,0,0,0,1
121,0,2,0,2,2,0,1,0,1,0,3,1,2,2,0,0,2,0,0,0,0,0
122,1,0,2,3,1,0,1,3,0,0,2,2,3,2,0,0,3,0,1,0,1,0
123,3,1,2,2,1,0,2,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1
124,3,1,4,0,0,2,2,3,0,0,3,0,4,2,1,0,2,0,1,0,1,1
125,1,2,4,9,3,0,2,1,0,1,2,2,3,2,1,1,3,1,1,0,0,1
126,1,2,4,1,3,3,4,1,1,0,3,3,2,2,0,0,2,0,0,0,1,1
127,1,2,3,0,2,0,2,0,0,0,3,1,4,2,1,1,2,0,0,0,1,1
128,1,3,3,0,3,1,4,1,0,0,3,2,4,1,1,3,3,0,1,0,0,1
129,0,3,2,1,3,0,3,3,0,0,2,1,2,2,1,0,2,1,0,0,1,0
130,3,2,2,3,0,1,3,3,0,0,2,1,2,2,1,0,2,0,1,0,1,1
131,0,2,4,2,1,0,2,3,1,0,2,1,1,2,0,1,2,0,0,0,1,1
132,0,1,2,2,0,0,2,1,0,2,2,1,3,2,1,0,1,1,0,0,1,1
133,3,1,4,6,0,4,4,3,1,0,3,1,4,2,0,1,1,0,0,0,1,1
134,1,2,2,1,3,2,1,2,1,0,3,2,2,2,0,0,2,0,0,0,0,0
135,0,2,4,1,3,0,0,1,0,0,3,3,7,2,2,1,3,0,1,0,1,1
136,3,0,4,0,0,3,2,1,1,0,1,0,4,0,1,1,1,0,0,0,1,1
137,3,2,4,3,0,0,0,3,1,0,3,2,6,2,1,1,0,0,0,0,1,1
138,3,2,4,3,1,0,2,1,1,0,0,2,1,2,1,1,2,0,0,0,1,1
139,1,3,4,0,3,0,0,3,0,0,1,2,2,2,1,1,3,0,0,0,0,0
140,0,2,2,8,0,0,2,3,1,0,3,1,1,2,1,0,1,0,0,0,1,0
141,0,1,2,0,1,0,2,3,1,2,3,1,2,2,1,0,2,0,1,0,1,0
142,3,3,2,2,2,0,2,3,1,0,1,2,2,2,1,0,3,0,1,0,0,1
143,3,2,2,1,3,4,2,0,0,0,2,2,2,2,1,0,2,0,0,0,1,1
144,0,2,2,3,2,0,2,1,1,0,3,2,2,2,1,0,2,0,0,0,1,1
145,3,2,4,3,1,0,4,3,0,0,3,2,4,2,1,1,2,0,1,0,1,1
146,3,3,4,2,3,2,2,3,0,0,3,0,3,2,1,1,2,0,1,0,1,1
147,1,1,2,3,0,0,4,3,1,0,3,0,1,2,1,0,2,0,0,0,1,0
148,3,2,2,1,3,4,4,2,0,0,3,2,4,2,1,0,3,1,1,0,1,1
149,0,2,2,0,1,0,1,1,0,0,2,0,3,2,1,0,2,0,0,0,1,0
150,3,3,3,2,3,2,3,1,1,0,3,2,4,2,1,1,2,0,1,0,1,1
151,2,3,4,3,2,0,4,3,0,0,3,1,4,2,1,0,2,0,0,0,1,1
152,3,2,2,3,2,0,1,3,1,0,3,1,2,2,1,0,2,0,1,0,1,1
153,0,1,0,0,0,0,2,3,0,0,3,2,4,0,1,1,2,0,0,0,0,0
154,0,3,2,5,3,0,1,0,0,0,0,3,3,0,1,0,1,0,1,0,0,0
155,0,2,2,6,0,0,0,3,1,0,0,0,2,2,1,0,0,0,0,0,0,0
156,1,2,2,8,1,3,2,3,0,0,1,1,3,2,1,0,1,0,1,0,1,1
157,3,0,4,2,0,4,2,0,0,0,1,1,2,2,1,1,2,0,0,0,1,1
158,3,3,2,8,2,4,2,3,0,0,1,0,3,0,1,0,2,0,0,0,0,1
159,3,1,4,2,3,4,4,1,0,0,3,1,4,2,0,0,2,0,1,1,1,1
160,0,2,1,3,1,0,3,3,0,2,3,2,1,0,0,0,1,0,0,0,0,1
161,0,2,2,0,3,0,4,0,0,0,3,1,4,2,1,0,3,0,1,1,0,0
162,2,2,2,2,2,0,1,0,1,0,0,1,4,1,1,0,1,0,0,0,1,1
163,0,3,4,6,3,0,2,3,0,0,2,3,2,0,1,0,2,0,1,0,0,0
164,0,1,2,7,0,0,3,3,0,0,3,1,1,2,0,0,2,0,0,0,0,1
165,1,2,2,5,1,1,2,3,0,2,1,0,1,2,1,0,2,0,0,0,1,1
166,3,1,2,0,1,2,2,2,0,0,1,3,4,2,0,0,1,1,0,1,1,1
167,3,1,2,6,0,0,4,3,0,0,3,2,4,0,1,0,1,1,0,0,0,1
168,3,2,2,0,1,3,3,3,1,0,2,2,3,2,1,0,2,1,1,0,1,1
169,3,2,4,3,0,4,2,3,0,0,2,1,2,2,1,1,2,0,1,0,1,1
170,1,2,1,0,3,1,0,0,0,0,1,1,3,1,1,0,3,1,1,0,0,0
171,1,3,0,8,1,0,4,3,0,0,3,3,6,2,2,0,3,0,1,0,0,0
172,3,2,2,1,2,4,4,3,0,0,3,0,4,2,1,0,3,0,1,0,1,1
173,1,3,0,8,2,1,3,3,0,0,3,3,3,2,2,0,1,1,0,0,0,1
174,0,2,0,8,2,0,3,2,0,0,0,1,3,0,1,0,2,0,1,0,1,1
175,0,1,2,0,0,0,2,3,0,0,2,2,2,2,1,0,1,0,0,0,0,0
176,3,2,4,3,0,2,2,1,0,0,1,1,4,2,1,1,1,0,0,0,1,1
177,1,3,3,8,2,1,4,3,0,0,1,1,4,1,1,1,2,0,0,0,1,0
178,0,2,2,0,2,0,1,3,1,0,0,1,2,2,1,0,2,0,0,0,0,0
179,3,3,2,3,2,4,2,3,1,0,3,2,1,2,1,0,2,0,0,0,1,1
180,3,2,4,0,1,0,2,2,0,0,1,1,3,0,1,1,2,0,0,0,0,0
181,0,3,2,2,3,4,4,3,0,0,3,1,3,2,1,0,2,0,0,0,0,1
182,3,2,2,0,3,2,4,0,1,0,3,3,3,2,2,0,2,0,0,0,1,1
183,3,2,2,1,0,4,4,3,0,0,3,3,4,0,2,0,2,1,0,0,1,1
184,1,2,2,0,2,0,2,2,1,0,3,1,0,2,0,0,1,0,1,0,0,0
185,0,2,2,0,1,0,3,3,1,0,3,2,1,2,0,1,2,0,0,0,0,0
186,3,2,2,8,3,3,2,1,0,0,2,1,5,2,1,2,3,0,1,0,0,1
187,1,2,3,2,2,4,1,3,0,0,1,1,2,0,1,0,1,0,0,0,1,1
188,0,3,2,0,3,0,3,1,0,0,0,2,1,2,1,0,2,0,1,0,0,0
189,0,2,2,0,2,4,3,1,0,1,1,0,1,2,1,0,1,0,0,1,1,1
190,3,0,2,2,3,0,1,0,1,0,3,1,3,2,1,0,2,0,0,0,0,1
191,3,3,3,8,3,4,1,3,0,0,3,2,2,2,0,1,2,0,1,0,0,1
192,3,1,3,3,0,4,4,2,0,0,3,3,3,2,2,0,2,0,0,0,1,1
193,0,1,4,0,1,0,1,0,0,0,2,0,4,2,0,1,1,1,0,1,1,1
194,0,2,2,4,0,4,2,3,1,0,1,2,1,2,0,0,2,0,0,0,0,0
195,1,0,2,3,0,0,3,2,0,2,2,0,2,0,1,0,1,0,0,0,1,1
196,3,2,3,1,2,0,2,2,0,0,1,0,2,1,1,1,1,0,0,0,1,1
197,2,1,2,0,2,0,1,0,0,2,0,1,3,2,1,0,1,1,0,0,1,1
198,3,2,4,3,2,4,4,3,0,0,3,1,5,2,1,1,2,0,0,0,1,1
199,2,1,1,3,0,3,2,2,1,0,2,0,4,2,0,1,2,0,0,0,1,1
200,1,3,1,4,3,4,1,2,1,0,1,3,2,0,1,0,0,0,0,0,1,0
201,3,2,2,0,0,0,1,3,0,0,1,0,2,2,1,0,2,0,0,0,1,1
202,3,0,4,3,1,0,3,0,1,0,1,2,1,2,0,1,2,0,1,0,1,1
203,0,1,2,1,2,0,4,2,0,0,3,3,3,2,2,0,2,0,1,0,0,1
204,0,1,2,0,0,0,3,3,0,0,1,0,2,2,1,0,2,0,0,0,0,1
205,3,2,2,1,3,4,2,1,0,0,3,3,4,2,2,0,2,0,1,0,1,1
206,1,1,1,1,3,0,4,1,1,0,3,3,7,0,2,0,3,1,1,0,0,1
207,1,2,3,8,3,1,3,3,0,0,3,2,3,2,0,0,3,0,1,0,1,1
208,3,2,2,3,3,4,1,0,1,0,0,2,4,2,1,1,2,0,1,0,0,1
209,3,3,4,0,3,2,2,1,0,0,1,3,4,2,2,0,2,0,0,0,0,1
210,3,1,2,2,0,0,2,3,1,0,0,0,2,2,1,0,2,0,1,0,1,1
211,0,1,2,2,1,0,2,1,1,1,2,1,3,2,1,0,2,0,0,0,1,0
212,3,1,4,3,1,0,4,1,0,0,1,3,2,2,1,1,2,0,0,0,1,1
213,1,2,3,2,1,0,0,2,1,0,1,1,3,2,1,0,3,0,1,0,0,0
214,1,2,2,1,3,0,0,2,1,0,3,3,3,2,2,0,3,0,1,0,0,1
215,0,2,2,1,3,4,4,0,0,0,3,1,5,2,2,0,2,1,1,0,0,1
216,1,3,1,8,3,0,4,3,1,0,2,3,5,2,0,0,2,0,0,0,0,0
217,1,1,2,3,0,2,2,2,0,0,0,2,2,2,1,0,2,0,1,0,1,1
218,3,1,4,5,0,4,3,3,1,0,3,0,1,2,1,1,2,0,0,0,1,1
219,0,2,2,1,2,0,3,1,0,0,0,3,3,2,2,0,3,0,1,0,1,1
220,0,2,2,0,0,0,1,3,1,0,3,1,1,2,0,0,2,0,0,0,0,0
221,0,3,4,2,3,0,1,3,1,1,3,3,1,2,0,1,1,0,1,0,0,0
222,1,2,2,3,0,0,4,3,0,0,2,2,3,2,1,0,2,1,0,0,0,0
223,1,1,2,3,1,0,2,1,0,0,1,0,3,2,1,0,1,1,0,0,1,1
224,3,2,2,1,3,0,2,2,0,0,1,2,3,2,1,0,2,0,1,0,1,1
225,3,2,3,2,0,3,3,2,1,0,1,1,3,2,1,1,2,0,0,0,1,1
226,0,3,2,2,2,0,4,1,0,0,1,1,4,0,1,0,2,1,0,0,0,1
227,3,0,2,3,0,0,2,2,1,0,0,0,2,2,1,0,2,0,0,0,1,1
228,1,3,4,3,2,0,4,3,0,0,3,0,3,2,1,0,2,0,0,0,1,1
229,3,1,4,3,0,0,4,3,0,0,3,0,5,2,1,2,2,0,0,0,1,1
230,1,1,2,3,2,0,3,1,1,0,0,0,2,2,1,0,2,0,0,0,1,1
231,0,2,2,3,2,0,1,3,1,0,3,1,2,2,0,0,3,0,1,0,1,0
232,0,1,4,1,1,0,4,3,0,0,3,3,6,2,2,1,3,0,0,0,1,1
233,2,3,3,8,1,0,4,3,0,0,3,0,6,2,1,0,3,0,1,0,0,1
234,3,3,4,3,2,4,4,3,0,0,0,0,4,2,1,0,2,0,1,0,1,1
235,3,2,2,3,1,4,4,3,0,0,1,2,3,2,1,0,2,0,0,0,1,1
236,1,1,1,3,0,0,2,3,0,0,3,0,1,1,1,0,1,0,0,0,1,0
237,3,2,2,0,1,4,1,3,0,0,0,1,5,2,1,0,2,0,0,0,1,1
238,1,3,3,0,2,1,4,3,0,0,2,3,3,2,2,0,2,0,0,0,1,0
239,3,2,4,0,0,0,1,3,1,0,0,1,3,2,1,1,2,0,0,0,1,1
240,1,2,2,3,1,0,4,3,1,0,3,2,0,2,1,0,2,0,1,0,1,1
241,3,1,4,2,1,3,3,2,1,0,1,1,3,2,1,0,2,0,0,0,1,1
242,3,3,2,3,2,2,4,3,0,0,1,2,3,0,1,0,3,0,0,0,1,1
243,3,1,2,3,1,4,2,3,0,0,3,3,3,2,2,0,2,0,1,0,1,1
244,1,2,2,1,3,0,4,3,1,0,1,3,4,2,2,0,3,0,1,0,0,0
245,3,2,2,1,2,1,1,0,1,0,3,2,1,2,1,0,2,0,1,0,1,1
246,0,2,2,1,2,0,2,2,0,2,3,3,6,0,1,0,2,1,1,0,1,1
247,1,1,2,8,0,1,3,1,1,0,3,0,1,2,0,0,1,0,0,0,1,1
248,3,1,4,6,2,0,4,1,1,0,3,3,5,0,2,2,1,0,0,0,1,1
249,3,3,3,3,3,0,3,1,0,0,3,2,1,2,1,1,2,0,1,0,1,1
